campaign_id,Campaign Name,audience_segment_a,audience_segment_b,Name from,Sending date,Daily revenue,Subject,Sent,Non delivered,Hard bounces,Soft bounces,Non delivered rate,Delivered,Total opens,Opens,Trackable open rate,Apple MPP Opens,Total clicked,Clicked,Click rate,Click-to-Open rate,Unsubscribed,Unsubscription rate,Delivered rate,Hard Bounces rate,Soft Bounces rate,Complaints,Complaints rate,Audience Segment A IDs,Audience Segment B IDs
1931,YFS - Redirect - Veneficus - Pick My Postcode (Batched),96,132,Postcode Winner At Your Freebie Style,2025-10-06,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Your free daily chance to win real money",35349,11,4,7,0.0003,35338,9932,6915,0.22010000000000002,3926,2210,1659,0.046900000000000004,0.23989999999999997,50,0.0014000000000000002,0.9997,0.0001,0.0002,4,0.0001,[96],[132]
1934,YFS - Redirect - Better Collective - Free Spins King (Batched),"96,100","89,94",Your Freebie Style,2025-10-06,0.0,"contact.FIRSTNAME | default : """" }} 🎰 Up to 150 Free Spins Are Waiting: Claim Your Deals!",38773,32,1,31,0.0008,38741,5711,4242,0.12119999999999999,3740,156,112,0.0029,0.0264,81,0.0021,0.9992,0.0,0.0008,4,0.0001,"[96, 100]","[89, 94]"
1936,YFS - Redirect - SB Digital - Captain Free Spins (HTML) (Batch Send),194,"94,185",120 Spins Via Your Freebie Style,2025-10-07,651.86,"contact.FIRSTNAME | default : ""Hey "" }} 120 Free Spins!",11532,2,0,2,0.0002,11530,2772,1997,0.1955,1314,259,165,0.0143,0.08259999999999999,31,0.0027,0.9998,0.0,0.0002,0,0.0,[194],"[94, 185]"
1937,YFS - Redirect - XL Win - Kinder chocolate,97,210,Kinder Tester Via Your Freebie Style,2025-10-07,0.0,"contact.FIRSTNAME | default : ""Hey "" }} - Taste Test Kinder Chocolate and Win £500 🍫🍫",34893,10,1,9,0.0003,34883,6286,4652,0.1557,4998,909,711,0.0204,0.1528,96,0.0028000000000000004,0.9997,0.0,0.0003,1,0.0,[97],[210]
1938,YFS - Redirect - Adstart Media - ALDI (Jul25),150,"89,151",250 Aldi Via Your Freebie Style,2025-10-07,498.94,contact.FIRSTNAME }} Your ALDI Gift Card Entry Needs Confirmation,18999,4,2,2,0.0002,18995,8111,5767,0.3362,1839,1019,682,0.0359,0.1183,57,0.003,0.9998,0.0001,0.0001,0,0.0,[150],"[89, 151]"
1935,YFS - Redirect - Fluent - RewardsGiant £100 Cash (Oct25),97,"192,163",100 Cash Via Your Freebie Style,2025-10-08,0.0,contact.FIRSTNAME }} claim your £100 reward,32241,10,0,10,0.0003,32231,5572,4228,0.1523,4470,684,521,0.016200000000000003,0.1232,89,0.0028000000000000004,0.9997,0.0,0.0003,1,0.0,[97],"[192, 163]"
1939,YFS - Redirect - ForYouPromo (FRST Media) - Nike (Apr25) (Batched),150,"89,206",Test Nike Products Via Your Freebie Style,2025-10-08,537.3,"contact.FIRSTNAME | default : ""Hey "" }} Nike product tester wanted",18379,4,2,2,0.0002,18375,7485,5557,0.3369,1882,969,700,0.0381,0.126,44,0.0024,0.9998,0.0001,0.0001,1,0.0001,[150],"[89, 206]"
1942,YFS - Redirect - Jupiter Gaming - Red Casino (Batched Send),"179,200",94,Your Freebie Style,2025-10-08,0.0,"contact.FIRSTNAME | default : ""Hello"" }} 5 Free Spins - No Deposit",9104,4,0,4,0.0004,9100,2591,1789,0.2191,935,213,133,0.0146,0.07429999999999999,28,0.0031,0.9995999999999999,0.0,0.0004,3,0.0003,"[179, 200]",[94]
1940,YFS - Redirect - Teremarkets - Slotstars Casino (Batched),"92,179,200",94,Your Freebie Style,2025-10-09,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Are you ready for £50 EXTRA CASH + 50 FREE Spins?",10723,2,0,2,0.0002,10721,3898,2789,0.2888,1064,212,133,0.0124,0.04769999999999999,40,0.0037,0.9998,0.0,0.0002,1,0.0001,"[92, 179, 200]",[94]
1941,YFS - Redirect - YouSweep - Paypal,"YFS 1 week,YFS 2 weeks,YFS 4 weeks,173",187,Prepaid Paypal Via Your Freebie Style,2025-10-09,0.0,contact.FIRSTNAME }} Your £100 Paypal Card Entry Needs Confirmation,35621,33,7,26,0.0009,35588,9818,6891,0.2165,3752,2077,1383,0.038900000000000004,0.2007,109,0.0031,0.9991,0.0002,0.0007000000000000001,1,0.0,[173],[187]
1944,YFS - Redirect - HeyPiggy (Jul25 Creative) (New Redirect Link),"YFS active,YFS 1 week,YFS 2 weeks,YFS 4 weeks",149,Paypal Cash Via Your Freebie Style,2025-10-10,535.62,contact.FIRSTNAME }} Your Free PayPal Cash Is Waiting,28307,27,0,27,0.001,28280,7888,5447,0.2145,2882,1554,978,0.0346,0.1795,98,0.0034999999999999996,0.9990000000000001,0.0,0.001,1,0.0,[],[149]
1945,YFS - Redirect - Little Star Media - Super Free Bingo (April25) (Batched Send),"179,194,YFS active","94,183",Your Freebie Style,2025-10-10,0.0,"contact.FIRSTNAME | default : ""Hey ""}} here’s your 10 free spins!",15782,7,0,7,0.0004,15775,3867,2779,0.1967,1650,359,253,0.016,0.091,38,0.0024,0.9995999999999999,0.0,0.0004,0,0.0,"[179, 194]","[94, 183]"
1946,YFS - Redirect - Best New Spins (Apr25) (Batched),"194,200","94,208",Your Freebie Style,2025-10-11,561.54,"contact.FIRSTNAME | default : ""Hello"" }} Your 100 Free Spins + No Deposit Offer Awaits!",10744,3,0,3,0.0003,10741,2469,1781,0.18460000000000001,1094,144,104,0.0097,0.0584,27,0.0025,0.9997,0.0,0.0003,1,0.0001,"[194, 200]","[94, 208]"
1947,YFS - Redirect - Fluent - RewardsGiant £750 Tesco,193,163,Tesco Reward Via Your Freebie Style,2025-10-11,0.0,contact.FIRSTNAME }}Tesco Reward or Cash?,32123,34,0,34,0.0011,32089,7762,5657,0.2079,4878,1172,847,0.0264,0.1497,50,0.0016,0.9989,0.0,0.0011,0,0.0,[193],[163]
1949,YFS - Redirect - Leadscale Labs - Survey Spotter (Mar25 creative) (Batched),150,130,Get Paid Via Your Freebie Style,2025-10-11,0.0,contact.FIRSTNAME }} What's your preferred payment method?,21849,7,1,6,0.0003,21842,9457,7021,0.3607,2375,550,362,0.0166,0.0516,57,0.0026,0.9997,0.0,0.0003,0,0.0,[150],[130]
1950,YFS - Redirect - Clickwork7 - Custard (May25) (Batched),"YFS 1 week,200",147,Free £2 Via Your Freebie Style,2025-10-12,477.0,"contact.FIRSTNAME | default : ""Hello"" }} Top pick: Claim your £2 bonus",10597,7,1,6,0.0007000000000000001,10590,2565,1862,0.19870000000000002,1221,303,200,0.0189,0.1074,26,0.0025,0.9993000000000001,0.0001,0.0006,2,0.0002,[200],[147]
1951,YFS - Redirect - ForYouPromo (FRST Media) - Test and Keep Milka samples (With Email PrePop),96,"144,98",Milka Samples Via Your Freebie Style,2025-10-12,0.0,"contact.FIRSTNAME | default : ""Hey "" }} - Your Milka Testing Kit is Waiting",34101,55,33,22,0.0016,34046,5195,3814,0.1323,5222,1135,778,0.0229,0.204,70,0.0021,0.9984000000000001,0.001,0.0006,3,0.0001,[96],"[144, 98]"
1952,YFS - Redirect - Little Star Media - Super Free Slots (red design) (batched),"171,194","94,184",Your Freebie Style,2025-10-12,0.0,"contact.FIRSTNAME | default : ""Hello "" }} Claim An Exclusive 50 Free Spins!",10545,4,1,3,0.0004,10541,2725,1979,0.2086,1054,165,123,0.011699999999999999,0.0622,32,0.003,0.9995999999999999,0.0001,0.0003,0,0.0,"[171, 194]","[94, 184]"
1953,YFS - Redirect - FreeClub £50 B&M (Jul25),96,"182,157",50 B&M Via Your Freebie Style,2025-10-13,546.62,contact.FIRSTNAME | default : 'Hello'}} weekly £50 B&M Gift Card giveaway!,28888,8,2,6,0.0003,28880,6867,4987,0.20350000000000001,4377,1264,921,0.0319,0.18469999999999998,57,0.002,0.9997,0.0001,0.0002,1,0.0,[96],"[182, 157]"
1954,YFS - Redirect - ForYouPromo (FRST Media) - Nike (Apr25) (Batched),150,"89,206",Test Nike Products Via Your Freebie Style,2025-10-13,0.0,"contact.FIRSTNAME | default : ""Hey "" }} Nike product tester wanted",16886,4,1,3,0.0002,16882,7321,5395,0.3552,1692,888,629,0.0373,0.1166,59,0.0034999999999999996,0.9998,0.0001,0.0002,2,0.0001,[150],"[89, 206]"
1955,YFS - Redirect - Qualitent - Reel Picks (Batched),"92,179,200","94,211",Reelpicks Via Your Freebie Style,2025-10-13,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Get up to 200 FS + No Dep Offers*",11254,2,0,2,0.0002,11252,4215,3101,0.3141,1380,114,92,0.008199999999999999,0.0297,38,0.0034000000000000002,0.9998,0.0,0.0002,0,0.0,"[92, 179, 200]","[94, 211]"
1956,YFS - Redirect - YouSweep - Tesco (Sep25),97,177,100 Tesco Via Your Freebie Style,2025-10-14,565.01,contact.FIRSTNAME }} Your £100 Tesco Gift Card Entry Needs Confirmation,33644,18,1,17,0.0005,33626,7195,5187,0.1728,3605,1464,1002,0.0298,0.1932,69,0.0021,0.9995,0.0,0.0005,3,0.0001,[97],[177]
1957,YFS - Redirect - Veneficus - Pick My Postcode (Batched),150,"132,98",Postcode Winner At Your Freebie Style,2025-10-14,0.0,"contact.FIRSTNAME | default : ""Hello"" }} Your free daily chance to win real money",15096,1,0,1,0.0001,15095,8609,5900,0.42810000000000004,1313,1730,1222,0.081,0.2071,50,0.0033,0.9998999999999999,0.0,0.0001,3,0.0002,[150],"[132, 98]"
1962,YFS - Redirect - Better Collective - Free Spins King (Batched),"92,171,194","94,212",Your Freebie Style,2025-10-14,0.0,"contact.FIRSTNAME | default : """" }} 🎰 Up to 150 Free Spins Are Waiting: Claim Your Deals!",14207,7,1,6,0.0005,14200,4048,3061,0.23929999999999998,1406,143,109,0.0077,0.0356,21,0.0015,0.9995,0.0001,0.0004,2,0.0001,"[92, 171, 194]","[94, 212]"
1960,YFS - Redirect - XL Win - Kinder chocolate,"213,YFS 2 weeks,YFS 4 weeks,",210,Kinder Tester Via Your Freebie Style,2025-10-15,502.12,"contact.FIRSTNAME | default : ""Hey "" }} - Taste Test Kinder Chocolate and Win £500 🍫🍫",31435,10,1,9,0.0003,31425,8767,6496,0.2353,3819,714,544,0.0173,0.0837,85,0.0027,0.9997,0.0,0.0003,4,0.0001,[213],[210]
1964,YFS - Redirect - SB Digital - Captain Free Spins (HTML) (Batch Send),194,"94,185",120 Spins Via Your Freebie Style,2025-10-15,0.0,"contact.FIRSTNAME | default : ""Hey "" }} 120 Free Spins!",10885,6,0,6,0.0006,10879,2595,1893,0.196,1221,222,158,0.014499999999999999,0.08349999999999999,43,0.004,0.9994,0.0,0.0006,2,0.0002,[194],"[94, 185]"
1959,YFS - Redirect - Win A Million,150,149,Become A Millionaire Via Your Freebie Style,2025-10-16,506.31,contact.FIRSTNAME }}10000 is waiting. What are your lucky numbers?,19715,6,1,5,0.0003,19709,8858,6577,0.3732,2087,271,206,0.0105,0.0313,45,0.0023,0.9997,0.0001,0.0003,2,0.0001,[150],[149]
1963,YFS - Redirect - Leadscale Labs - Survey Spotter (Mar25 creative),97,"98,130",Get Paid Via Your Freebie Style,2025-10-16,0.0,contact.FIRSTNAME }} choose a payment method,33220,26,13,13,0.0008,33194,6153,4459,0.1561,4620,727,543,0.016399999999999998,0.12179999999999999,81,0.0024,0.9992,0.0004,0.0004,3,0.0001,[97],"[98, 130]"
1965,YFS - Redirect - Little Star Media - Super Free Bingo (April25) (Batched Send),"YFS Active,179,194","94,183",Your Freebie Style,2025-10-16,0.0,"contact.FIRSTNAME | default : ""Hey ""}} here’s your 10 free spins!",15949,1,0,1,0.0001,15948,3713,2754,0.19079999999999997,1516,272,196,0.0123,0.0712,26,0.0016,0.9998999999999999,0.0,0.0001,3,0.0002,"[179, 194]","[94, 183]"
1769,YFS - Redirect - Sweepstakes Redirect (batched send),150 - 5 days recent registration,"146 - clicked adstart iphone,151 - clicked adstart aldi,199 - clicked freeclub asda,177 - clicked tesco Yousweep",Prize Reminder Via Your Freebie Style,2025-10-17,498.16,REMINDER: Your Guaranteed Prize Entry is Still Waiting!,18369,5,1,4,0.0003,18364,8206,5905,0.35850000000000004,1891,640,466,0.0254,0.0789,60,0.0033,0.9997,0.0001,0.0002,1,0.0001,[],[]
1966,YFS - Redirect - ForYouPromo (FRST Media) - Test and Keep Milka samples (With Email PrePop),"YFS 1 week,YFS 2 weeks,YFS active,150,172",144,Milka Samples Via Your Freebie Style,2025-10-17,0.0,"contact.FIRSTNAME | default : ""Hey "" }} - Your Milka Testing Kit is Waiting",35916,23,2,21,0.0006,35893,9879,7200,0.2302,4613,1119,798,0.0222,0.1108,78,0.0022,0.9994,0.0001,0.0006,1,0.0,"[150, 172]",[144]
1974,YFS - Redirect - Little Star Media - Super Free Slots (red design) (batched),"171,194","94,184",Your Freebie Style,2025-10-17,0.0,"contact.FIRSTNAME | default : ""Hello "" }} Claim An Exclusive 50 Free Spins!",10189,2,0,2,0.0002,10187,2629,1897,0.205,933,165,119,0.011699999999999999,0.06269999999999999,30,0.0029,0.9998,0.0,0.0002,0,0.0,"[171, 194]","[94, 184]"
